PAISAJE,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
Montaña,81,81,69.5846019583821,35188.9484343677,35119.3638324093,426306.881182276,5263.04791583057,2529.61839806871,6708.70644645598,69.5846019583821,69.5846019583821,839.191262395823,7079.87516363559,6240.68390123976
Planicie,9,9,358.628846560264,41043.2703661992,40684.6415196389,113934.375712727,12659.3750791919,8644.82558572694,11424.5968651899,358.628846560264,358.628846560264,6125.37429493268,15810.9474340593,9685.57313912663
Valle,3,3,132.135110870786,5169.20366342793,5037.06855255714,8173.93204242732,2724.64401414244,2872.59326812861,2059.0340190012,132.135110870786,132.135110870786,1502.3641894997,4020.89846577827,2518.53427627857
Cuerpo de agua,1,1,5422.20726292834,5422.20726292834,0,5422.20726292834,5422.20726292834,5422.20726292834,0,5422.20726292834,5422.20726292834,5422.20726292834,5422.20726292834,0
Pantanos,1,1,172.271081842268,172.271081842268,0,172.271081842268,172.271081842268,172.271081842268,0,172.271081842268,172.271081842268,172.271081842268,172.271081842268,0
Zona urbana,1,1,37753.0556730047,37753.0556730047,0,37753.0556730047,37753.0556730047,37753.0556730047,0,37753.0556730047,37753.0556730047,37753.0556730047,37753.0556730047,0
Misceláneo erosionado,1,1,337.273085554051,337.273085554051,0,337.273085554051,337.273085554051,337.273085554051,0,337.273085554051,337.273085554051,337.273085554051,337.273085554051,0
