CNESource,Codigo,Nombre,Categoria,Tecnologia,Estado,FechaInst,FechaSusp,Altitud,LatDD,LongDD,Depto,Municipio,AreaOperat,Entidad,AH,ZH,SZH,Corriente,Observ,Subred
CNE_OE,35037240,RIO GUATIQUIA BOCA  [35037240],Limnimétrica,Convencional,Activa,15/06/1997,,3400,"4.5333333329999999","-73.75",Cundinamarca,Fómeque,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guatiquía,Chingaza,,
CNE_OE,35040020,STA TERESA HDA  [35040020],Pluviométrica,Convencional,Suspendida,15/02/1963,15/08/1964,500,"4.4333333330000002","-73.599999999999994",Meta,Restrepo,Area Operativa 03 - Meta-Guaviare-Guainía,MINISTERIO DE OBRAS PÚBLICAS,Orinoco,Meta,Río Guacavía,,,
CNE_OE,35040030,CABANA LA HDA  [35040030],Pluviométrica,Convencional,Suspendida,15/06/1961,15/07/1964,40,"4.3","-73.483333329999994",Meta,Cumaral,Area Operativa 03 - Meta-Guaviare-Guainía,INSTITUTO DE FOMENTO ALGODONERO,Orinoco,Meta,Río Guacavía,,,
CNE_OE,35060010,PRIMAVERA LA  [35060010],Pluviométrica,Convencional,Activa,15/06/1972,,2735,"4.8333333329999997","-73.766666670000006",Cundinamarca,Guasca,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060260,RIO GUAVIO 4  [35060260],Pluviométrica,Convencional,Suspendida,15/05/1943,15/02/1944,1770,"4.7","-73.516666670000006",Cundinamarca,Gachalá,Area Operativa 11 - Cundinamarca-Amazonas,MINISTERIO DE AGRICULTURA,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060270,SAN ROQUE  [35060270],Pluviométrica,Convencional,Suspendida,15/01/1942,15/05/1948,2410,"4.7833333329999999","-73.566666670000004",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,MINISTERIO DE AGRICULTURA,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060280,GACHETA SCRIA AGRI  [35060280],Pluviométrica,Convencional,Activa,15/01/1953,,1800,"4.8333333329999997","-73.633333329999999",Cundinamarca,Gachetá,Area Operativa 11 - Cundinamarca-Amazonas,FEDERACIÓN NACIONAL DE CAFETEROS,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060290,TOMINE GUATAVITA 2  [35060290],Pluviográfica,Convencional,Suspendida,15/01/1958,15/12/1958,2700,"4.8833333330000004","-73.8",Cundinamarca,Guatavita,Area Operativa 11 - Cundinamarca-Amazonas,CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA,Magdalena Cauca,Alto Magdalena,Río Bogotá,,,
CNE_OE,35060320,PTE COEDOBA  [35060320],Pluviométrica,Convencional,Activa,15/08/1972,,2250,"4.6666666670000003","-73.666666669999998",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060330,PALMAR  [35060330],Pluviométrica,Convencional,Activa,15/08/1972,,2340,"4.75","-73.7",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060400,BARAJAS  [35060400],Pluviométrica,Convencional,Activa,15/04/1974,,3500,"4.1833333330000002","-73.733333329999994",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guayuriba,,,
CNE_OE,35060410,CASCADA LA  [35060410],Pluviométrica,Convencional,Activa,15/09/1974,,2220,"4.6833333330000002","-73.783333330000005",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guatiquía,,,
CNE_OE,35060420,PENA CUADRADA  [35060420],Pluviométrica,Convencional,Activa,15/05/1987,,2200,"4.766666667","-73.8",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060430,SAN SALVADOR  [35060430],Pluviométrica,Convencional,Activa,15/09/1990,,2200,"4.75","-73.75",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060440,ARRAYANES LOS  [35060440],Pluviométrica,Convencional,Activa,15/07/1987,,2900,"4.733333333","-73.7",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,,,
CNE_OE,35060450,BOLSA NEGRA  [35060450],Pluviométrica,Convencional,Activa,15/05/1987,,3100,"4.7166666670000001","-73.7",Cundinamarca,Junín,Area Operativa 11 - Cundinamarca-Amazonas,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTA E.S.P,Orinoco,Meta,Río Guavio,,,
